id_restaurant,id_cuisine
1,0
3,1
7,2
8,3
10,2
12,4
15,5
16,6
19,7
19,8
21,9
21,10
22,9
24,11
31,12
34,13
36,14
37,15
40,16
44,16
44,5
44,12
44,17
45,18
46,9
49,19
53,20
56,6
56,21
56,12
57,12
59,22
62,23
66,12
67,6
69,24
72,16
72,12
77,4
77,12
78,25
82,12
84,16
86,11
88,26
89,9
91,16
93,27
94,22
101,1
102,15
104,9
106,18
108,1
110,12
117,12
118,23
120,28
124,29
124,9
128,10
129,5
129,30
130,26
130,1
131,12
134,16
135,13
135,1
139,12
141,1
142,12
144,31
145,16
147,31
148,12
149,32
150,33
152,5
157,16
159,15
160,34
163,31
163,16
163,35
165,22
166,36
167,9
168,9
179,9
185,37
185,16
185,25
185,38
185,9
189,12
191,10
193,12
196,27
197,39
198,12
200,26
201,40
201,41
203,42
206,43
208,10
214,9
214,17
215,44
217,45
217,28
218,16
219,42
221,12
222,26
229,15
240,6
245,1
248,23
248,28
249,28
250,12
251,46
252,31
252,5
252,4
252,16
253,12
255,19
257,47
259,6
260,48
266,12
266,6
272,12
272,6
275,12
275,16
275,31
275,1
278,12
278,31
278,17
280,6
280,49
280,35
281,9
288,50
289,9
289,51
289,52
292,6
293,5
299,12
300,36
302,22
303,9
304,9
305,14
306,40
308,40
317,1
318,30
319,16
320,19
321,6
327,5
330,14
332,34
333,51
333,9
338,53
339,54
342,17
342,34
342,30
349,23
349,28
350,12
350,6
355,53
356,18
357,40
360,5
361,12
361,4
361,31
361,16
361,17
363,55
366,16
366,29
367,36
368,12
369,12
381,40
381,41
