id_restaurant,name,operator,brand,opening_hours,wheelchair,vegetarian,vegan,delivery,takeaway,internet_access,stars,capacity,drive_through,wikidata,brand_wikidata,siret,phone,website,facebook,smoking,com_insee,com_nom,region,code_region,departement,code_departement,commune,code_commune,latitude,longitude
0,Cha+,,,"Tu-Sa 11:00-20:00; Su 13:00-20:00",0,,,,,,,,,,,83037025000011,"+33 2 38 53 78 02",http://www.le-dream-s-coffee.com,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.901149799961,1.9052942
1,Freshkin,,,,,1,,,,,,,,,,89256822100014,,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.915769999958,1.901334
2,"La Vinithèque au n°7",,,,1,,,,,no,,,,,,,,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.901402699961,1.9085654
3,KFC,,KFC,"Mo-Th 11:30-14:30, 18:30-22:00; Fr 11:30-14:30, 18:30-23:00; Sa-Su 11:30-23:00",,,,,1,,,,,,Q524757,,,https://www.kfc.fr/nos-restaurants/kfc-orleans-olivet,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.883855899965,1.8978531
4,"Crêperie bretonne",,,"Mo-We 11:45-13:45,18:45-21:45; Th 11:45-14:00; Fr-Sa 11:45-13:45,18:45-22:00; Su 11:45-13:45",0,,,,,wlan,,,,,,37849491800014,"+33 238622462",https://www.creperiebretonneorleans.com/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.900086299961,1.9080137
5,"La Petite Folie",,,"Tu-Sa 12:00-14:00,19:00-23:00",0,,,,,,,,,,,83970174500011,+33238533987,https://lapetitefolie-orleans.fr/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.900054599961,1.9085976
6,"Au Brazza",,,,,,,,,,,,,,,89290110900017,"+33 238688769",,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.914159099958,1.9310622
7,L'Ardoise,,,"Tu-Th,Sa 12:00-13:30,19:30-21:30; Fr,Su 12:00-13:30",,,,,,,,,,,,79537510400010,"+33 238535166",,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.90467339996,1.9054386
8,Pastel's,,,"Tu-Th 11:45-13:45,19:00-21:45; Fr 11:45-13:45,19:00-22:00; Sa 12:00-14:30,19:00-22:00",,,,,,,,,,,,88437730000014,"+33 954252575",https://www.pastels-restaurant.com/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.900249099961,1.9112915
9,"La Terrasse du Parc",,,,,,,,,,,,,,,,,http://www.laterrasse45.com,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.847591699974,1.9380651
10,"Chez Eugène",,,Mo-Fr,1,,,,,,,,,,,40520209400018,,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.903837599961,1.9055246
11,"Restaurant Universitaire - L'Anatidé",,,"Mo-Fr 11:30-13:30",,,,,,,,250,,,,18450021300477,,https://www.crous-orleans-tours.fr/restaurant/lanatide/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.844586499974,1.9357554
12,"O Chicken Naan",,,,1,,,,,,,,,,,,+33236172134,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.839223799976,1.935991
13,L'Amandier,,,,0,,,,,,,,,,,,,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.914912999958,1.8994738
14,Siam's,,,"Mo-Sa 12:00-14:00,19:00-22:30",,,,,,,,,,,,35069148100021,"+33 2 38 77 99 24",https://www.restaurant-siams.fr/le-restaurant/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.899671899961,1.9064994
15,"Grec gourmand",,,"Tu-Th 11:00-01:00, Fr 11:00-02:00, Sa 12:00-02:00, Su 12:00-01:00",0,,,,1,,,14,1,,,,,,,0,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.900102899961,1.908208
16,Polpettone,,,"Mo-Th 12:00-14:30,19:00-22:30; Fr 12:00-14:30,19:00-23:00; Sa 12:00-15:00,19:00-23:00",,,,,,,,,,,,82843853100018,"+33 2 36 17 04 34",https://www.polpettone-restaurant.com/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.898168199962,1.9070774
17,"Before Lounge",,,,,,,,,,,,,,,,+33642999182,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.877927299967,1.9095004
18,Trib's,,,"Mo-Th 05:30-20:30; Fr 05:30-21:00; Sa 06:30-19:30; PH,Su 08:15-21:00",1,,,,,,,,,,,,,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.90781579996,1.904207
19,"La Sole Dorée",,,"We-Sa 12:00-14:00,19:30-22:00; Su 12:00-14:00",,,,,,,,,,,,84854686700013,"+33 238832140",https://www.lasoledoree.fr/,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.898396499962,1.8978947
20,"Menphis Cofee",,,"Mo-Th 11:45-22:30; Fr,Sa 11:45-23:00; Su 11:45-22:30",,,,,,,,,,,,52264344400014,+33238777015,,,,45234,Orléans,"Centre-Val de Loire",24,Loiret,45,Orléans,45234,47.900976799961,1.9062535
