id_cuisine,cuisine
0,Salad
1,Chicken
2,Gastronomique
3,Afro-latine
4,Tacos
5,Kebab
6,Italian
7,Seafood
8,Fish
9,French
10,Regional
11,Mexican
12,Pizza
13,African
14,Moroccan
15,International
16,Burger
17,Grill
18,Korean
19,Vietnamese
20,Argentinian
21,Pasta
22,Indian
23,Chinese
24,Ice_cream
25,Bavarian
26,Coffee_shop
27,French_tacos
28,Asian
29,Traditional
30,Turkish
31,Sandwich
32,Crepe
33,Bubble_tea
34,Mediterranean
35,Brunch
36,Lebanese
37,Deli
38,Sausage
39,Local
40,Sushi
41,Japanese
42,Thai
43,Portuguese
44,En-cas_chaud
45,Ramen
46,Irish
47,Corsican
48,Bretonne
49,Brasserie
50,Syrian
51,American
52,European
53,Steak_house
54,Poke
55,Arab
